Columna,Utilidad analitica 0-10,Utilidad preguntas 0-10,Calidad datos 0-10,% nulos,Redundancia,Decision,Preguntas asociadas
year,8,10,10.0,0.0,no,mantener,Evolucion de lanzamientos; Liderazgo de actores; Publico vs privado; Tasa de exito; Tendencias actuales
launch_provider,8,9,10.0,0.0,no,mantener,Liderazgo de actores; Publico vs privado
source_dataset,8,6,10.0,0.0,no,mantener,apoyo/trazabilidad
record_level,8,6,10.0,0.0,no,mantener,apoyo/trazabilidad
launch_date,8,6,5.7,43.04,no,mantener,apoyo/trazabilidad
decade,8,6,10.0,0.0,no,mantener,Evolucion de lanzamientos
space_era,8,6,10.0,0.0,no,mantener,Evolucion de lanzamientos
launch_frequency_period,8,6,10.0,0.0,no,mantener,apoyo/trazabilidad
mission_name,8,6,10.0,0.0,no,mantener,apoyo/trazabilidad
satellite_name,8,6,10.0,0.0,no,mantener,apoyo/trazabilidad
country,8,6,10.0,0.0,no,mantener,Liderazgo de actores
launch_site,8,6,10.0,0.0,no,mantener,apoyo/trazabilidad
launch_vehicle,8,6,10.0,0.0,no,mantener,apoyo/trazabilidad
mission_status,8,6,10.0,0.0,no,mantener,Tasa de exito
mission_success_binary,8,6,9.8,2.03,no,mantener,Tasa de exito
payload_count,8,6,10.0,0.0,no,mantener,apoyo/trazabilidad
preferred_for_launch_count,8,6,10.0,0.0,no,mantener,Evolucion de lanzamientos
ucs_match_found,8,6,10.0,0.0,no,mantener,apoyo/trazabilidad
satellite_operator,8,6,10.0,0.0,no,mantener,Publico vs privado
purpose_group,8,6,10.0,0.0,no,mantener,Tendencias actuales
organization_type,8,6,10.0,0.0,no,mantener,Publico vs privado
launch_id,8,6,10.0,0.0,si,transformar,apoyo/trazabilidad
satellite_operator_country,8,6,10.0,0.0,si,transformar,Liderazgo de actores
satellite_users,8,6,10.0,0.0,si,transformar,apoyo/trazabilidad
satellite_purpose,8,6,10.0,0.0,si,transformar,apoyo/trazabilidad
orbit_type,8,6,10.0,0.0,si,transformar,apoyo/trazabilidad
orbit_group,8,6,10.0,0.0,si,transformar,Tendencias actuales
satellite_mass_kg,8,6,4.0,95.83,si,transformar,Tendencias actuales
mass_group,8,6,10.0,0.0,si,transformar,Tendencias actuales
satellite_detailed_purpose,7,3,10.0,0.0,si,transformar,apoyo/trazabilidad
orbit_subtype,7,3,10.0,0.0,si,transformar,apoyo/trazabilidad
ucs_launch_vehicle,7,3,10.0,0.0,si,transformar,apoyo/trazabilidad
ucs_launch_site,7,3,10.0,0.0,si,transformar,apoyo/trazabilidad
cospar_number,7,3,10.0,0.0,si,transformar,apoyo/trazabilidad
norad_number,7,3,10.0,0.0,si,transformar,apoyo/trazabilidad
source_record_id,5,3,10.0,0.0,no,transformar,apoyo/trazabilidad
launch_date_raw,5,3,10.0,0.0,no,transformar,apoyo/trazabilidad
rocket_status,5,3,10.0,0.0,no,transformar,apoyo/trazabilidad
name_key,5,3,10.0,0.09,no,transformar,apoyo/trazabilidad
