valor_original,valor_normalizado
APT Satellite Holdings Ltd.,APT Satellite Holdings Ltd.
Agency for Defense Development,Agency for Defense Development
Al Yah Satellite Communications Co. (YAHSAT),Al Yah Satellite Communications Co. (YAHSAT)
AngoSat,AngoSat
Arab Satellite Communications Org. (ASCO),Arab Satellite Communications Org. (ASCO)
Arianespace,Arianespace
Armed Forces,Armed Forces
Asia Broadcast Satellite Ltd.,Asia Broadcast Satellite Ltd.
Asia Satellite Telecommunications Co. Ltd.,Asia Satellite Telecommunications Co. Ltd.
Astro Digital,Astro Digital
Beijing Future Navigation Technology Co. Ltd.,Beijing Future Navigation Technology Co. Ltd.
Belintersat,Belintersat
Bolivarian Agency for Space Activities,Bolivarian Agency for Space Activities
Bulsatcom,Bulsatcom
CASC,CASC
CASIOM,CASIOM
CNSA,CNSA
Cabinet Satellite Intelligence Center (CSIC),Cabinet Satellite Intelligence Center (CSIC)
Canadian Space Agency,Canadian Space Agency
Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA),Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA)
Chang Guang Satellite Technology Co. Ltd.,Chang Guang Satellite Technology Co. Ltd.
China Academy of Space Technology (CAST),China Academy of Space Technology (CAST)
China Meteorological Administration,China Meteorological Administration
China National Space Administration,China National Space Administration
China Satellite Communication Corp. (China Satcom),China Satellite Communication Corp. (China Satcom)
China Telecom,China Telecom
"China's Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture","China's Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture"
Chinese Academy of Launch Vehicle Technology (CASIC),Chinese Academy of Launch Vehicle Technology (CASIC)
Chinese Academy of Sciences,Chinese Academy of Sciences
Chinese Ministry of National Defense,Chinese Ministry of National Defense
Ciel Satellite Group,Ciel Satellite Group
Defense Ministry,Defense Ministry
Deimos Imaging/DMC International Imaging (DMCII),Deimos Imaging/DMC International Imaging (DMCII)
DigitalGlobe Corporation,DigitalGlobe Corporation
"DirecTV, Inc.","DirecTV, Inc."
Directorate General of Armaments (DGA),Directorate General of Armaments (DGA)
DoD/NOAA,DoD/NOAA
DoD/US Navy,DoD/US Navy
ESA,ESA
EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),EUMETSAT (European Organization for the Exploitation of Meteorological Satellites)
