valor_original,valor_normalizado
10ADS,10ADS
2SLS/AFSMC,2SLS/AFSMC
3SLS/AFSMC,3SLS/AFSMC
4SLS/AFSMC,4SLS/AFSMC
ABLSS,ABLSS
ABMA,ABMA
ADD,ADD
AFBMD,AFBMD
AFORS/SAND,AFORS/SAND
AFSC,AFSC
AFSD,AFSD
AFSMC,AFSMC
AFSPC,AFSPC
AFSSD,AFSSD
AFSSD/MSC,AFSSD/MSC
AFSSD/STG,AFSSD/STG
AFSSD/STGL,AFSSD/STGL
AFSSD2,AFSSD2
AMBA,AMBA
ASI,ASI
ASTRV,ASTRV
Arianespace,Arianespace
Arm??e de l'Air,Arm??e de l'Air
BLOR,BLOR
BLS,BLS
Blue Origin,Blue Origin
Boeing,Boeing
CASC,CASC
CASIC,CASIC
CASIC4A,CASIC4A
CAST,CAST
CECLES,CECLES
CNES,CNES
CRA,CRA
CZHJ,CZHJ
DFK,DFK
Douglas,Douglas
EER,EER
ELDO,ELDO
ELUS,ELUS
ESA,ESA
EUROK,EUROK
EXPACE,EXPACE
Eurockot,Eurockot
ExPace,ExPace
Exos,Exos
FFLY,FFLY
GDCLS,GDCLS
GILM,GILM
GKLS,GKLS
General Dynamics,General Dynamics
IAI,IAI
ILS,ILS
ILSK,ILSK
ILSL,ILSL
INNOSP,INNOSP
IRGC,IRGC
IRSA,IRSA
ISA,ISA
ISAR,ISAR
ISAS,ISAS
ISRO,ISRO
JAXA,JAXA
KARI,KARI
KCST,KCST
KHRU,KHRU
KVR,KVR
KVR?,KVR?
Khrunichev,Khrunichev
Kosmotras,Kosmotras
LANDSP,LANDSP
LARCN,LARCN
LERC,LERC
LERC/AFSMC,LERC/AFSMC
LERC/AFSSD,LERC/AFSSD
LERC/SAMSO,LERC/SAMSO
LMA,LMA
LYK,LYK
Land Launch,Land Launch
Landspace,Landspace
Lockheed,Lockheed
MDSSC,MDSSC
MICOM/WRE,MICOM/WRE
MITT,MITT
MMA,MMA
MMCLS,MMCLS
MSC,MSC
MSC/AFSSD,MSC/AFSSD
MSFC,MSFC
MSFC/AFSSD,MSFC/AFSSD
MVS,MVS
Martin Marietta,Martin Marietta
Mitsubishi Heavy Industries,Mitsubishi Heavy Industries
NADA,NADA
NASA,NASA
NASDA,NASDA
NOTS,NOTS
NPOL,NPOL
NRL,NRL
NSIL,NSIL
Northrop,Northrop
Northrop Grumman,Northrop Grumman
OATKC,OATKC
OKB-586,OKB-586
OneSpace,OneSpace
Orbital Sciences,Orbital Sciences
PLA2AC,PLA2AC
PU,PU
RAKA,RAKA
RELSP,RELSP
RKA,RKA
RLABU,RLABU
RSC,RSC
RSLP,RSLP
Rocket Lab,Rocket Lab
Roscosmos,Roscosmos
Russian Space Forces,Russian Space Forces
S394I,S394I
S4300,S4300
SAMSO,SAMSO
SEALC,SEALC
SEALP,SEALP
SIS,SIS
SIS/ELUS,SIS/ELUS
SPONE,SPONE
SRC,SRC
STSM,STSM
Sandia,Sandia
Sea Launch,Sea Launch
Soviet/Russian Strategic Rocket Forces,Soviet/Russian Strategic Rocket Forces
SpaceX,SpaceX
Starsem,Starsem
TIANB,TIANB
UNKS,UNKS
UNKSR,UNKSR
US Air Force,US Air Force
US Navy,US Navy
UT,UT
United Launch Alliance,United Launch Alliance
VKS RF,VKS RF
VMFR,VMFR
VORB,VORB
VVKO,VVKO
Virgin Orbit,Virgin Orbit
XIDO,XIDO
XJRY,XJRY
Yuzhmash,Yuzhmash
ZKYT,ZKYT
i-Space,i-Space
