valor_original,valor_normalizado
AO,AO
AR,AR
AT,AT
AZ,AZ
Australia,Australia
B,B
BD,BD
BGN,BGN
BM,BM
BO,BO
BT,BT
BY,BY
Barents Sea,Barents Sea
Brazil,Brazil
CH,CH
CL,CL
CSFR,CSFR
CSSR,CSSR
CZ,CZ
Canada,Canada
China,China
DK,DK
DZ,DZ
EE,EE
EG,EG
Europe/ESA,Europe/ESA
France,France
GR,GR
Germany,Germany
Gran Canaria,Gran Canaria
HK,HK
HKUK,HKUK
HU,HU
I-ARAB,I-ARAB
I-ELDO,I-ELDO
I-ESRO,I-ESRO
I-EUM,I-EUM
I-EUT,I-EUT
I-INM,I-INM
I-INT,I-INT
I-NATO,I-NATO
I-RASC,I-RASC
ID,ID
IE,IE
India,India
Iran,Iran
Israel,Israel
Italy,Italy
Japan,Japan
KZ,KZ
Kazakhstan,Kazakhstan
Kenya,Kenya
L,L
LA,LA
MA,MA
MC,MC
MU,MU
MX,MX
MY,MY
N,N
NG,NG
NL,NL
New Mexico,New Mexico
New Zealand,New Zealand
North Korea,North Korea
PE,PE
PH,PH
PK,PK
Pacific Missile Range Facility,Pacific Missile Range Facility
Pacific Ocean,Pacific Ocean
QA,QA
RW,RW
Russia,Russia
S,S
SA,SA
SG,SG
Shahrud Missile Test Site,Shahrud Missile Test Site
South Korea,South Korea
Spain,Spain
T,T
TR,TR
TW,TW
USSR/Russia,Russia
UY,UY
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom
United States,United States
VE,VE
Yellow Sea,Yellow Sea
ZA,ZA
